CustomerID	AccountNumber	CustomerType	ProductID	ProductName	SalesOrderID	OrderDate
11	AW00000011	S	710	Mountain Bike Socks, L	46035	2002-05-01 00:00:00
11	AW00000011	S	709	Mountain Bike Socks, M	46035	2002-05-01 00:00:00
11	AW00000011	S	710	Mountain Bike Socks, L	44495	2001-11-01 00:00:00
17	AW00000017	S	710	Mountain Bike Socks, L	45796	2002-04-01 00:00:00
17	AW00000017	S	709	Mountain Bike Socks, M	45796	2002-04-01 00:00:00
17	AW00000017	S	709	Mountain Bike Socks, M	45056	2002-01-01 00:00:00
17	AW00000017	S	710	Mountain Bike Socks, L	44297	2001-10-01 00:00:00
17	AW00000017	S	710	Mountain Bike Socks, L	43676	2001-07-01 00:00:00
17	AW00000017	S	709	Mountain Bike Socks, M	43676	2001-07-01 00:00:00
18	AW00000018	S	709	Mountain Bike Socks, M	46026	2002-05-01 00:00:00
18	AW00000018	S	709	Mountain Bike Socks, M	44487	2001-11-01 00:00:00
18	AW00000018	S	709	Mountain Bike Socks, M	43843	2001-08-01 00:00:00
20	AW00000020	S	709	Mountain Bike Socks, M	46379	2002-06-01 00:00:00
20	AW00000020	S	709	Mountain Bike Socks, M	44792	2001-12-01 00:00:00
20	AW00000020	S	710	Mountain Bike Socks, L	44792	2001-12-01 00:00:00
20	AW00000020	S	709	Mountain Bike Socks, M	44126	2001-09-01 00:00:00
20	AW00000020	S	710	Mountain Bike Socks, L	44126	2001-09-01 00:00:00
27	AW00000027	S	709	Mountain Bike Socks, M	45801	2002-04-01 00:00:00
27	AW00000027	S	709	Mountain Bike Socks, M	45077	2002-01-01 00:00:00
27	AW00000027	S	709	Mountain Bike Socks, M	43695	2001-07-01 00:00:00
29	AW00000029	S	710	Mountain Bike Socks, L	46079	2002-05-01 00:00:00
29	AW00000029	S	710	Mountain Bike Socks, L	44542	2001-11-01 00:00:00
29	AW00000029	S	710	Mountain Bike Socks, L	43891	2001-08-01 00:00:00
29	AW00000029	S	709	Mountain Bike Socks, M	43891	2001-08-01 00:00:00
40	AW00000040	S	709	Mountain Bike Socks, M	46103	2002-05-01 00:00:00
40	AW00000040	S	709	Mountain Bike Socks, M	45341	2002-02-01 00:00:00
40	AW00000040	S	709	Mountain Bike Socks, M	43913	2001-08-01 00:00:00
47	AW00000047	S	709	Mountain Bike Socks, M	46332	2002-06-01 00:00:00
47	AW00000047	S	710	Mountain Bike Socks, L	46332	2002-06-01 00:00:00
47	AW00000047	S	709	Mountain Bike Socks, M	45526	2002-03-01 00:00:00
47	AW00000047	S	709	Mountain Bike Socks, M	44746	2001-12-01 00:00:00
63	AW00000063	S	709	Mountain Bike Socks, M	45330	2002-02-01 00:00:00
73	AW00000073	S	709	Mountain Bike Socks, M	46060	2002-05-01 00:00:00
73	AW00000073	S	709	Mountain Bike Socks, M	44523	2001-11-01 00:00:00
73	AW00000073	S	710	Mountain Bike Socks, L	44523	2001-11-01 00:00:00
73	AW00000073	S	709	Mountain Bike Socks, M	43877	2001-08-01 00:00:00
75	AW00000075	S	709	Mountain Bike Socks, M	45565	2002-03-01 00:00:00
92	AW00000092	S	709	Mountain Bike Socks, M	46323	2002-06-01 00:00:00
92	AW00000092	S	710	Mountain Bike Socks, L	46323	2002-06-01 00:00:00
92	AW00000092	S	709	Mountain Bike Socks, M	44075	2001-09-01 00:00:00
92	AW00000092	S	710	Mountain Bike Socks, L	44075	2001-09-01 00:00:00
99	AW00000099	S	709	Mountain Bike Socks, M	46047	2002-05-01 00:00:00
99	AW00000099	S	709	Mountain Bike Socks, M	45289	2002-02-01 00:00:00
99	AW00000099	S	709	Mountain Bike Socks, M	44507	2001-11-01 00:00:00
99	AW00000099	S	709	Mountain Bike Socks, M	43862	2001-08-01 00:00:00
118	AW00000118	S	709	Mountain Bike Socks, M	46330	2002-06-01 00:00:00
118	AW00000118	S	709	Mountain Bike Socks, M	45524	2002-03-01 00:00:00
118	AW00000118	S	709	Mountain Bike Socks, M	44745	2001-12-01 00:00:00
118	AW00000118	S	709	Mountain Bike Socks, M	44081	2001-09-01 00:00:00
119	AW00000119	S	709	Mountain Bike Socks, M	45792	2002-04-01 00:00:00
119	AW00000119	S	709	Mountain Bike Socks, M	44294	2001-10-01 00:00:00
119	AW00000119	S	709	Mountain Bike Socks, M	43672	2001-07-01 00:00:00
144	AW00000144	S	709	Mountain Bike Socks, M	44524	2001-11-01 00:00:00
145	AW00000145	S	709	Mountain Bike Socks, M	44513	2001-11-01 00:00:00
145	AW00000145	S	709	Mountain Bike Socks, M	43867	2001-08-01 00:00:00
146	AW00000146	S	709	Mountain Bike Socks, M	45782	2002-04-01 00:00:00
146	AW00000146	S	709	Mountain Bike Socks, M	45043	2002-01-01 00:00:00
146	AW00000146	S	709	Mountain Bike Socks, M	44284	2001-10-01 00:00:00
146	AW00000146	S	709	Mountain Bike Socks, M	43665	2001-07-01 00:00:00
164	AW00000164	S	709	Mountain Bike Socks, M	46030	2002-05-01 00:00:00
164	AW00000164	S	709	Mountain Bike Socks, M	44489	2001-11-01 00:00:00
169	AW00000169	S	709	Mountain Bike Socks, M	46372	2002-06-01 00:00:00
169	AW00000169	S	709	Mountain Bike Socks, M	45564	2002-03-01 00:00:00
169	AW00000169	S	709	Mountain Bike Socks, M	44788	2001-12-01 00:00:00
169	AW00000169	S	709	Mountain Bike Socks, M	44121	2001-09-01 00:00:00
180	AW00000180	S	709	Mountain Bike Socks, M	46346	2002-06-01 00:00:00
180	AW00000180	S	709	Mountain Bike Socks, M	44759	2001-12-01 00:00:00
187	AW00000187	S	709	Mountain Bike Socks, M	46362	2002-06-01 00:00:00
187	AW00000187	S	709	Mountain Bike Socks, M	44776	2001-12-01 00:00:00
187	AW00000187	S	709	Mountain Bike Socks, M	44113	2001-09-01 00:00:00
252	AW00000252	S	710	Mountain Bike Socks, L	44303	2001-10-01 00:00:00
272	AW00000272	S	709	Mountain Bike Socks, M	45521	2002-03-01 00:00:00
272	AW00000272	S	709	Mountain Bike Socks, M	44743	2001-12-01 00:00:00
278	AW00000278	S	709	Mountain Bike Socks, M	46056	2002-05-01 00:00:00
278	AW00000278	S	709	Mountain Bike Socks, M	45300	2002-02-01 00:00:00
278	AW00000278	S	709	Mountain Bike Socks, M	44518	2001-11-01 00:00:00
278	AW00000278	S	709	Mountain Bike Socks, M	43875	2001-08-01 00:00:00
279	AW00000279	S	709	Mountain Bike Socks, M	46384	2002-06-01 00:00:00
287	AW00000287	S	709	Mountain Bike Socks, M	46106	2002-05-01 00:00:00
289	AW00000289	S	709	Mountain Bike Socks, M	46052	2002-05-01 00:00:00
289	AW00000289	S	710	Mountain Bike Socks, L	46052	2002-05-01 00:00:00
289	AW00000289	S	709	Mountain Bike Socks, M	45295	2002-02-01 00:00:00
289	AW00000289	S	709	Mountain Bike Socks, M	43866	2001-08-01 00:00:00
293	AW00000293	S	709	Mountain Bike Socks, M	46348	2002-06-01 00:00:00
293	AW00000293	S	709	Mountain Bike Socks, M	45542	2002-03-01 00:00:00
293	AW00000293	S	709	Mountain Bike Socks, M	44762	2001-12-01 00:00:00
293	AW00000293	S	709	Mountain Bike Socks, M	44100	2001-09-01 00:00:00
309	AW00000309	S	709	Mountain Bike Socks, M	46094	2002-05-01 00:00:00
309	AW00000309	S	709	Mountain Bike Socks, M	45334	2002-02-01 00:00:00
309	AW00000309	S	710	Mountain Bike Socks, L	44556	2001-11-01 00:00:00
309	AW00000309	S	709	Mountain Bike Socks, M	43906	2001-08-01 00:00:00
312	AW00000312	S	709	Mountain Bike Socks, M	46082	2002-05-01 00:00:00
312	AW00000312	S	709	Mountain Bike Socks, M	45321	2002-02-01 00:00:00
312	AW00000312	S	710	Mountain Bike Socks, L	44544	2001-11-01 00:00:00
312	AW00000312	S	709	Mountain Bike Socks, M	43897	2001-08-01 00:00:00
315	AW00000315	S	709	Mountain Bike Socks, M	45815	2002-04-01 00:00:00
326	AW00000326	S	709	Mountain Bike Socks, M	46098	2002-05-01 00:00:00
326	AW00000326	S	709	Mountain Bike Socks, M	45336	2002-02-01 00:00:00
326	AW00000326	S	709	Mountain Bike Socks, M	44561	2001-11-01 00:00:00
326	AW00000326	S	709	Mountain Bike Socks, M	43909	2001-08-01 00:00:00
335	AW00000335	S	709	Mountain Bike Socks, M	44527	2001-11-01 00:00:00
335	AW00000335	S	710	Mountain Bike Socks, L	44527	2001-11-01 00:00:00
346	AW00000346	S	709	Mountain Bike Socks, M	46066	2002-05-01 00:00:00
346	AW00000346	S	709	Mountain Bike Socks, M	45307	2002-02-01 00:00:00
346	AW00000346	S	709	Mountain Bike Socks, M	44528	2001-11-01 00:00:00
346	AW00000346	S	709	Mountain Bike Socks, M	43881	2001-08-01 00:00:00
348	AW00000348	S	709	Mountain Bike Socks, M	46107	2002-05-01 00:00:00
348	AW00000348	S	709	Mountain Bike Socks, M	45343	2002-02-01 00:00:00
353	AW00000353	S	709	Mountain Bike Socks, M	46024	2002-05-01 00:00:00
353	AW00000353	S	710	Mountain Bike Socks, L	46024	2002-05-01 00:00:00
353	AW00000353	S	709	Mountain Bike Socks, M	44484	2001-11-01 00:00:00
353	AW00000353	S	710	Mountain Bike Socks, L	44484	2001-11-01 00:00:00
354	AW00000354	S	709	Mountain Bike Socks, M	46072	2002-05-01 00:00:00
354	AW00000354	S	709	Mountain Bike Socks, M	45315	2002-02-01 00:00:00
354	AW00000354	S	709	Mountain Bike Socks, M	44534	2001-11-01 00:00:00
354	AW00000354	S	709	Mountain Bike Socks, M	43890	2001-08-01 00:00:00
366	AW00000366	S	709	Mountain Bike Socks, M	46364	2002-06-01 00:00:00
366	AW00000366	S	709	Mountain Bike Socks, M	45555	2002-03-01 00:00:00
366	AW00000366	S	709	Mountain Bike Socks, M	44777	2001-12-01 00:00:00
368	AW00000368	S	710	Mountain Bike Socks, L	46365	2002-06-01 00:00:00
368	AW00000368	S	710	Mountain Bike Socks, L	44779	2001-12-01 00:00:00
368	AW00000368	S	709	Mountain Bike Socks, M	44779	2001-12-01 00:00:00
368	AW00000368	S	709	Mountain Bike Socks, M	44116	2001-09-01 00:00:00
384	AW00000384	S	709	Mountain Bike Socks, M	46048	2002-05-01 00:00:00
384	AW00000384	S	709	Mountain Bike Socks, M	45290	2002-02-01 00:00:00
384	AW00000384	S	709	Mountain Bike Socks, M	44505	2001-11-01 00:00:00
385	AW00000385	S	709	Mountain Bike Socks, M	45328	2002-02-01 00:00:00
385	AW00000385	S	709	Mountain Bike Socks, M	44551	2001-11-01 00:00:00
385	AW00000385	S	709	Mountain Bike Socks, M	43901	2001-08-01 00:00:00
389	AW00000389	S	710	Mountain Bike Socks, L	46039	2002-05-01 00:00:00
389	AW00000389	S	709	Mountain Bike Socks, M	46039	2002-05-01 00:00:00
389	AW00000389	S	709	Mountain Bike Socks, M	45282	2002-02-01 00:00:00
389	AW00000389	S	710	Mountain Bike Socks, L	44499	2001-11-01 00:00:00
389	AW00000389	S	709	Mountain Bike Socks, M	43856	2001-08-01 00:00:00
397	AW00000397	S	709	Mountain Bike Socks, M	45783	2002-04-01 00:00:00
397	AW00000397	S	709	Mountain Bike Socks, M	45042	2002-01-01 00:00:00
397	AW00000397	S	709	Mountain Bike Socks, M	44285	2001-10-01 00:00:00
397	AW00000397	S	710	Mountain Bike Socks, L	44285	2001-10-01 00:00:00
401	AW00000401	S	710	Mountain Bike Socks, L	46102	2002-05-01 00:00:00
401	AW00000401	S	709	Mountain Bike Socks, M	45342	2002-02-01 00:00:00
401	AW00000401	S	709	Mountain Bike Socks, M	44567	2001-11-01 00:00:00
401	AW00000401	S	710	Mountain Bike Socks, L	44567	2001-11-01 00:00:00
