CustomerID	AccountNumber	CustomerType	SalesOrderID	OrderDate	TotalDue
11078	AW00011078	I	75084	2004-07-31 00:00:00	132.6
11927	AW00011927	I	75085	2004-07-31 00:00:00	18.72
28789	AW00028789	I	75086	2004-07-31 00:00:00	8.78
11794	AW00011794	I	75087	2004-07-31 00:00:00	38.66
14680	AW00014680	I	75088	2004-07-31 00:00:00	125.93
19585	AW00019585	I	75089	2004-07-31 00:00:00	66.82
27686	AW00027686	I	75090	2004-07-31 00:00:00	82.85
20601	AW00020601	I	75091	2004-07-31 00:00:00	88.92
26564	AW00026564	I	75092	2004-07-31 00:00:00	55.22
16170	AW00016170	I	75093	2004-07-31 00:00:00	173.03
16927	AW00016927	I	75094	2004-07-31 00:00:00	8.78
11657	AW00011657	I	75095	2004-07-31 00:00:00	59.66
11287	AW00011287	I	75096	2004-07-31 00:00:00	98.31
21717	AW00021717	I	75097	2004-07-31 00:00:00	49.7
23381	AW00023381	I	75098	2004-07-31 00:00:00	41.18
21163	AW00021163	I	75099	2004-07-31 00:00:00	80.59
13350	AW00013350	I	75100	2004-07-31 00:00:00	86.72
20201	AW00020201	I	75101	2004-07-31 00:00:00	147.51
19893	AW00019893	I	75102	2004-07-31 00:00:00	132.58
18529	AW00018529	I	75103	2004-07-31 00:00:00	44.18
17151	AW00017151	I	75104	2004-07-31 00:00:00	14.3
15160	AW00015160	I	75105	2004-07-31 00:00:00	109.35
14474	AW00014474	I	75106	2004-07-31 00:00:00	8.04
14029	AW00014029	I	75107	2004-07-31 00:00:00	62.95
21347	AW00021347	I	75108	2004-07-31 00:00:00	5.51
14114	AW00014114	I	75109	2004-07-31 00:00:00	94.46
13753	AW00013753	I	75110	2004-07-31 00:00:00	93.84
19072	AW00019072	I	75111	2004-07-31 00:00:00	54.11
21523	AW00021523	I	75112	2004-07-31 00:00:00	43.07
21524	AW00021524	I	75113	2004-07-31 00:00:00	127.03
24704	AW00024704	I	75114	2004-07-31 00:00:00	23.75
26832	AW00026832	I	75115	2004-07-31 00:00:00	88.92
16402	AW00016402	I	75116	2004-07-31 00:00:00	5.51
18178	AW00018178	I	75117	2004-07-31 00:00:00	32.58
13671	AW00013671	I	75118	2004-07-31 00:00:00	149.43
11981	AW00011981	I	75119	2004-07-31 00:00:00	46.72
18749	AW00018749	I	75120	2004-07-31 00:00:00	93.88
15251	AW00015251	I	75121	2004-07-31 00:00:00	82.85
15868	AW00015868	I	75122	2004-07-31 00:00:00	34.22
18759	AW00018759	I	75123	2004-07-31 00:00:00	209.92
17283	AW00017283	I	75061	2004-07-30 00:00:00	97.75
24374	AW00024374	I	75062	2004-07-30 00:00:00	23.75
18732	AW00018732	I	75063	2004-07-30 00:00:00	126.48
12351	AW00012351	I	75064	2004-07-30 00:00:00	75.11
16640	AW00016640	I	75065	2004-07-30 00:00:00	36.02
29216	AW00029216	I	75066	2004-07-30 00:00:00	102.19
27392	AW00027392	I	75067	2004-07-30 00:00:00	26.28
27640	AW00027640	I	75068	2004-07-30 00:00:00	66.82
11502	AW00011502	I	75069	2004-07-30 00:00:00	109.35
11176	AW00011176	I	75070	2004-07-30 00:00:00	27.61
25858	AW00025858	I	75071	2004-07-30 00:00:00	35.66
24775	AW00024775	I	75072	2004-07-30 00:00:00	40.43
11875	AW00011875	I	75073	2004-07-30 00:00:00	30.14
24672	AW00024672	I	75074	2004-07-30 00:00:00	79.1
13175	AW00013175	I	75075	2004-07-30 00:00:00	132.56
23273	AW00023273	I	75076	2004-07-30 00:00:00	43.61
16370	AW00016370	I	75077	2004-07-30 00:00:00	86.1
22341	AW00022341	I	75078	2004-07-30 00:00:00	81.73
12939	AW00012939	I	75079	2004-07-30 00:00:00	75.68
18805	AW00018805	I	75080	2004-07-30 00:00:00	147.51
13929	AW00013929	I	75081	2004-07-30 00:00:00	85.05
26361	AW00026361	I	75082	2004-07-30 00:00:00	59.65
13423	AW00013423	I	75083	2004-07-30 00:00:00	44.19
12038	AW00012038	I	75030	2004-07-29 00:00:00	27.61
24306	AW00024306	I	75031	2004-07-29 00:00:00	8.04
25817	AW00025817	I	75032	2004-07-29 00:00:00	8.04
16175	AW00016175	I	75033	2004-07-29 00:00:00	43.07
11118	AW00011118	I	75034	2004-07-29 00:00:00	8.78
15263	AW00015263	I	75035	2004-07-29 00:00:00	9.93
11711	AW00011711	I	75036	2004-07-29 00:00:00	69.59
15761	AW00015761	I	75037	2004-07-29 00:00:00	4.41
11185	AW00011185	I	75038	2004-07-29 00:00:00	87.81
25908	AW00025908	I	75039	2004-07-29 00:00:00	30.14
14079	AW00014079	I	75040	2004-07-29 00:00:00	42.96
18926	AW00018926	I	75041	2004-07-29 00:00:00	168.27
22356	AW00022356	I	75042	2004-07-29 00:00:00	55.22
20365	AW00020365	I	75043	2004-07-29 00:00:00	77.34
20473	AW00020473	I	75044	2004-07-29 00:00:00	16.55
18674	AW00018674	I	75045	2004-07-29 00:00:00	137
20298	AW00020298	I	75046	2004-07-29 00:00:00	77.34
17584	AW00017584	I	75047	2004-07-29 00:00:00	44.18
18774	AW00018774	I	75048	2004-07-29 00:00:00	146.93
25066	AW00025066	I	75049	2004-07-29 00:00:00	16.83
21364	AW00021364	I	75050	2004-07-29 00:00:00	8.04
15300	AW00015300	I	75051	2004-07-29 00:00:00	5.51
16303	AW00016303	I	75052	2004-07-29 00:00:00	165.73
14933	AW00014933	I	75053	2004-07-29 00:00:00	40.84
17851	AW00017851	I	75054	2004-07-29 00:00:00	54.68
20134	AW00020134	I	75055	2004-07-29 00:00:00	164.62
26369	AW00026369	I	75056	2004-07-29 00:00:00	59.66
25802	AW00025802	I	75057	2004-07-29 00:00:00	66.82
12643	AW00012643	I	75058	2004-07-29 00:00:00	103.84
13338	AW00013338	I	75059	2004-07-29 00:00:00	134.74
14514	AW00014514	I	75060	2004-07-29 00:00:00	156.89
26031	AW00026031	I	74998	2004-07-28 00:00:00	26.28
29288	AW00029288	I	74999	2004-07-28 00:00:00	60.75
